Player,Wyscout id,Team within selected timeframe,Position,Age,Goals,Assists,Minutes played,Temporada
J. da Silva,90607,Wanderers,GK,33.0,0,0,2331,2024
A. Alaniz,-328917,Racing,"CF, LAMF, LWF",22.0,10,1,2325,2024
L. Suhr,453190,Boston River,"RW, RAMF",27.0,2,3,2319,2024
M. Rabuñal,341295,Cerro,"LCMF, RCMF",30.0,2,0,2318,2024
C. Oliva,-72202,Nacional,"DMF, LDMF, RDMF",28.0,1,2,2315,2024
N. Fernández,-234079,Progreso,"AMF, LCMF",21.0,1,1,2305,2024
G. Pereira,-253093,Fénix,"CB, RCB, RCB3",22.0,2,0,2294,2024
R. Formento,-90811,Cerro Largo,GK,25.0,0,0,2288,2024
A. González,57116,Miramar Misiones,"RCB, CB",36.0,0,0,2277,2024
L. Sanabria,-381603,Nacional,"RCMF, RCMF3, RDMF",20.0,2,1,2269,2024
N. Rodríguez,163043,Nacional,"RB, LB",33.0,3,5,2262,2024
R. Rabino,430704,Cerro Largo,"LB, LW",26.0,0,1,2250,2024
Y. Irrazábal,57695,River Plate,GK,36.0,0,0,2248,2024
J. Méndez,307569,Peñarol,RCB,29.0,1,0,2242,2024
M. Olivera,166618,Peñarol,LB,32.0,1,1,2234,2024
L. Costa,-121658,Boston River,RCB,26.0,1,0,2222,2024
A. Castro,400004,Nacional,"LCMF, LDMF, LCMF3",30.0,5,3,2218,2024
B. Guisolfo,-64369,Fénix,"RCMF, LCMF, DMF",22.0,0,0,2194,2024
L. Cosentino,-344646,Cerro Largo,"LW, RW",23.0,6,0,2186,2024
D. Romero,-235768,Deportivo Maldonado,"LB, LWB",24.0,1,4,2178,2024
S. Sosa,201202,Cerro Largo,CF,30.0,3,2,2175,2024
H. Petryk,-233854,Deportivo Maldonado,RB,30.0,0,0,2173,2024
F. Tealde,185281,Deportivo Maldonado,LCB,35.0,0,0,2173,2024
G. Camargo,252603,Rampla Juniors,LB,33.0,0,0,2168,2024
H. Salaberry,253382,River Plate,"RCB, CB, LCB",37.0,1,0,2158,2024
E. de los Santos,-84012,Racing,"RCMF, RAMF, RCMF3",25.0,3,0,2150,2024
B. Mansilla,-320987,Defensor Sporting,"LW, LAMF, LWF",22.0,4,5,2139,2024
M. Rodríguez,415142,Miramar Misiones,"LB, LCB3",27.0,2,2,2120,2024
M. Cachi,-114427,Fénix,"AMF, RCMF, RCMF3",26.0,2,3,2114,2024
S. Cartagena,-110865,Deportivo Maldonado,"LCMF, RDMF, RCMF",22.0,1,2,2092,2024
I. Yepez,444664,Miramar Misiones,"LW, CF, LWB",26.0,3,0,2079,2024
G. Larrazábal,-423193,Deportivo Maldonado,"RAMF, CF, RW",22.0,3,3,2067,2024
M. Cubero,154887,Cerro,GK,30.0,0,0,2057,2024
L. Núñez,-113256,Deportivo Maldonado,"DMF, LDMF, RDMF",23.0,0,0,2050,2024
M. Marta,485476,Progreso,"LCB3, CB, LCB",27.0,0,1,2018,2024
J. Rodríguez,-368040,Boston River,"LCB, LB",19.0,0,0,2008,2024
T. Verón Lupi,-101727,Racing,"CF, RAMF, RW",24.0,3,2,1995,2024
L. Giossa,-172323,Miramar Misiones,GK,24.0,0,0,1980,2024
J. Cabrera,91737,Peñarol,"RW, RAMF",32.0,2,4,1974,2024
N. Furtado,-116394,Cerro Largo,RB,26.0,0,1,1960,2024
P. González,289958,Deportivo Maldonado,"AMF, RAMF, RW",28.0,1,2,1934,2024
R. Brazionis,-403900,Danubio,"RCB, RCB3",23.0,1,0,1918,2024
B. Veglio,-90785,Wanderers,"RCMF, RDMF, LCMF3",26.0,1,1,1917,2024
Léo Coelho,282848,Peñarol,"RCB, LCB",31.0,3,0,1910,2024
P. Milans,-57217,Peñarol,RB,22.0,0,1,1889,2024
L. Monzón,-172328,Racing,"LCB, LCB3",23.0,0,0,1885,2024
M. Fonseca,-140818,Wanderers,CF,23.0,2,2,1884,2024
