Player,Wyscout id,Team within selected timeframe,Position,Age,Goals,Assists,Minutes played,Temporada
M. Bajter,57174,Liverpool,"RCMF3, RCMF, RDMF",31.0,3,0,798,2017
J. Galli,166498,Rampla Juniors,"LCMF, AMF",27.0,0,0,791,2017
F. Arismendi,198517,Cerro,"RW, CF, LW",26.0,0,0,780,2017
M. Corujo,24238,Peñarol,"RB, RW",31.0,0,0,772,2017
W. Klingender,69027,Boston River,"RCMF3, LCMF3, AMF",28.0,1,0,771,2017
D. Rodríguez,92321,River Plate,LB,30.0,1,1,770,2017
B. Acosta,499275,Juventud,"LCMF, RW, RCMF3",19.0,0,0,742,2017
C. Rivero,90586,Defensor Sporting,"RCMF, LCMF",32.0,0,0,737,2017
F. Cabrera,438455,Plaza Colonia,LW,26.0,0,0,736,2017
D. Vargas,413461,Cerro,"CF, RW, LW",22.0,1,0,733,2017
L. Sosa,201707,Danubio,"LWB, LCMF3, LB",26.0,0,1,732,2017
W. Aguerre,237009,Plaza Colonia,GK,24.0,0,0,731,2017
E. Vidal,220744,Juventud,"CF, AMF",22.0,1,0,725,2017
M. Affonso,277673,Peñarol,CF,25.0,4,0,725,2017
Á. Luna,240414,Liverpool,"AMF, LW",28.0,1,2,721,2017
G. Pérez,353005,Wanderers,"DMF, LDMF",22.0,0,0,716,2017
A. Nadruz,448934,Boston River,"LCMF3, RCMF3, LCMF",21.0,0,0,709,2017
J. Fernández,335090,Plaza Colonia,CF,22.0,1,0,701,2017
A. Rolín,189614,Nacional,"RCB, LCB",28.0,0,0,696,2017
M. Díaz,120171,Liverpool,LCB,29.0,0,0,690,2017
M. Vila,55876,Boston River,"CF, RWB, AMF",31.0,1,0,673,2017
H. García,357899,Sud América,"RW, LW, LCMF",20.0,2,0,672,2017
D. Casas,288416,Juventud,CF,22.0,1,0,670,2017
B. Lozano,368519,Nacional,"RAMF, LAMF, RW",23.0,4,1,666,2017
S. Bellini,399986,Wanderers,CF,20.0,3,2,662,2017
R. Rodríguez,209462,Liverpool,GK,21.0,0,0,652,2017
Léo Bahia,282433,Rampla Juniors,"CF, LAMF",26.0,1,0,649,2017
P. Silva,301883,Danubio,CF,32.0,1,0,644,2017
M. Soler,500027,Plaza Colonia,GK,22.0,0,0,642,2017
J. Álvarez,322472,Plaza Colonia,"LW, LAMF, CF",22.0,0,0,638,2017
M. Lemos,402132,Juventud,"LW, RCMF, LCMF3",23.0,1,0,630,2017
M. Lyford Pike,471767,El Tanque Sisley,"CF, LWF",21.0,3,0,616,2017
F. Sellanes,110271,Fénix,"RCMF, DMF, RCMF3",27.0,0,0,610,2017
L. Rodríguez,262243,Danubio,CF,24.0,1,0,596,2017
G. Aguilar,57881,Racing,RB,30.0,0,0,571,2017
J. Noy,322887,River Plate,"DMF, LCMF",24.0,0,0,563,2017
R. Pastorini,91625,Wanderers,"CF, RAMF, LWF",27.0,1,1,560,2017
R. Viega,91725,Wanderers,"RCMF3, LCMF3, RDMF",26.0,1,1,560,2017
F. Millacet,249815,Sud América,"RWB, AMF",26.0,0,0,554,2017
N. de la Cruz,418994,Liverpool,"CF, RAMF, AMF",20.0,3,0,547,2017
J. Ramírez,57126,El Tanque Sisley,"CF, RW, LW",26.0,2,0,538,2017
J. Ardaiz,434702,Danubio,"CF, RAMF",18.0,0,0,523,2017
M. Saracchi,397867,Danubio,"LAMF, LW",19.0,2,0,512,2017
B. Barreto,57175,El Tanque Sisley,"LCMF3, RCMF",28.0,1,0,510,2017
M. Sigales,322460,Boston River,CF,23.0,1,0,507,2017
G. Firpo,57231,Plaza Colonia,"RCMF, RDMF",29.0,0,0,507,2017
A. Silva,249820,Peñarol,"RB, RW, RCMF3",24.0,0,1,505,2017
M. da Luz,452054,River Plate,"LW, RW",22.0,1,2,504,2017
Y. Moreira,105161,River Plate,LB,26.0,0,0,504,2017
G. Leyes,176517,Liverpool,"CF, AMF",27.0,1,0,497,2017
M. Alaníz,282516,Racing,"LAMF, AMF",24.0,1,0,497,2017
F. Laens,23408,Fénix,CF,29.0,0,0,491,2017
M. Pérez,55874,Fénix,"CF, LWF",30.0,3,0,487,2017
E. Álvarez,413471,Defensor Sporting,"LCB3, LWB",21.0,0,0,484,2017
S. Fuentes,91579,Sud América,GK,30.0,0,0,462,2017
S. Sosa,201202,Boston River,CF,23.0,2,0,456,2017
N. Dibble,322922,Peñarol,"LW, LAMF",23.0,2,0,454,2017
R. Araújo,459276,Boston River,"DMF, LCMF3, LCMF",18.0,0,0,446,2017
F. Gallego,301877,Liverpool,"AMF, LAMF, LW",27.0,0,2,444,2017
C. Muga,485472,Liverpool,"LCMF, LDMF, LCMF3",21.0,0,0,439,2017
F. Kidd,450064,Plaza Colonia,LB,20.0,0,1,437,2017
G. Allala,428688,Sud América,"RCB, LCB, CB",20.0,0,0,420,2017
M. Boselli,362787,Wanderers,"RW, RAMF, LWF",22.0,0,0,420,2017
J. Piquerez,397880,Defensor Sporting,"LWB, CF",18.0,0,0,419,2017
M. Mier,90582,Peñarol,"LW, LAMF",27.0,1,3,413,2017
J. Fleitas,216919,Sud América,GK,24.0,0,0,403,2017
A. Márquez,23406,Plaza Colonia,CF,32.0,1,0,402,2017
Rodrigo,193598,Danubio,"RCMF, LCMF",30.0,0,0,402,2017
G. Ramos,248705,Fénix,"CF, AMF, RCMF3",25.0,1,1,392,2017
Diogo Silvestre,97658,Danubio,"LW, LCB3, LCB",27.0,0,0,383,2017
L. Ísola,398412,Rampla Juniors,RAMF,23.0,0,0,381,2017
D. Ávila,289945,Boston River,LB5,21.0,0,0,381,2017
M. Araújo,446564,Racing,"CF, LW, AMF",20.0,1,0,378,2017
F. Moreira,143067,Cerro,RDMF,28.0,1,1,371,2017
F. Quiroz,238746,Cerro,"RCMF, LCMF",26.0,0,0,369,2017
G. Olveira,303659,River Plate,GK,24.0,0,0,364,2017
G. Montes,245341,Racing,"RW, LW, LCMF3",22.0,0,0,363,2017
B. Pinheiro,450035,Cerro,LB,21.0,0,0,363,2017
L. Correa,485478,Juventud,RB,21.0,0,0,361,2017
M. Amondarain,272069,Racing,RCB,24.0,0,0,359,2017
N. Martínez,473457,Sud América,LB,19.0,0,0,352,2017
S. Correa,247441,Rampla Juniors,RW,26.0,2,0,350,2017
G. Rodríguez,193210,Defensor Sporting,GK,23.0,0,0,339,2017
J. Boselli,450011,Defensor Sporting,"CF, AMF",17.0,0,1,338,2017
J. Mascia,175666,El Tanque Sisley,CF,23.0,2,0,336,2017
M. Anaba,285342,Sud América,DMF,23.0,0,0,336,2017
D. Barone,29152,River Plate,"LCB, CB",37.0,0,0,330,2017
A. Miranda,301879,Plaza Colonia,RW,24.0,0,0,326,2017
E. Cuello,246574,Juventud,,23.0,0,0,318,2017
B. Méndez,486251,Wanderers,"RB, RCB3",17.0,0,0,317,2017
M. Viña,471082,Nacional,LB,19.0,0,0,314,2017
M. Pérez,23546,Danubio,"LB, LW",31.0,0,0,311,2017
S. Cáceres,500453,Liverpool,"RCB, CB",18.0,0,0,310,2017
B. Ibeh,413661,Sud América,,22.0,0,0,307,2017
M. Benítez,289946,Juventud,"CF, LW, LCMF3",21.0,2,0,304,2017
H. Acuña,47142,Defensor Sporting,"CF, AMF",35.0,0,1,303,2017
S. Franco,442183,Juventud,"CF, RCMF3",18.0,0,0,294,2017
Dudú,434015,Boston River,"CF, RWB",22.0,0,0,289,2017
L. Urruti,300683,Fénix,"CF, AMF",24.0,2,0,285,2017
G. Corujo,473449,Nacional,RCB,21.0,0,0,283,2017
E. Martínez,23350,Sud América,LCB,38.0,0,0,282,2017
N. Techera,359439,Cerro,RCB,22.0,0,0,278,2017
N. Freitas,57149,Sud América,"LDMF, RCMF, RCB",30.0,0,0,271,2017
W. Ibáñez,49351,Cerro,,30.0,0,0,270,2017
S. Lentinelly,432677,Liverpool,,20.0,0,0,270,2017
C. Martín,486149,River Plate,,17.0,0,0,263,2017
F. Pintos,201141,Boston River,"DMF, RCMF",24.0,0,0,263,2017
J. Gómez,178481,Rampla Juniors,CF,27.0,1,0,258,2017
O. Colo,390071,Plaza Colonia,,21.0,0,0,254,2017
B. Lugo,128388,Cerro,"LAMF, RAMF, LW",26.0,1,0,253,2017
C. Cruz,452570,Fénix,"LCMF, LCMF3",19.0,0,0,250,2017
F. Silvera,485369,River Plate,"LB, LCMF",20.0,0,0,236,2017
F. Píriz,476720,Peñarol,LB,19.0,0,0,234,2017
G. Viera,474143,Liverpool,CF,16.0,0,0,228,2017
R. Gómez,499278,Juventud,"CF, RW, RCMF3",23.0,0,0,222,2017
M. Pintos,482308,Liverpool,LCMF3,17.0,0,0,219,2017
S. Arias,499291,Boston River,"RCMF3, LCMF3",22.0,0,0,217,2017
F. Andueza,396156,Wanderers,"LCB, LCB3",20.0,0,0,214,2017
F. Milán,474732,Defensor Sporting,CF,16.0,3,0,207,2017
J. Péndola,103912,El Tanque Sisley,"CB, LCB3, LCB",36.0,0,0,200,2017
N. Díaz,91620,El Tanque Sisley,"AMF, CF",27.0,0,0,199,2017
P. Siles,485477,Danubio,RCMF3,19.0,0,0,198,2017
A. Romero,515055,Juventud,,20.0,0,0,197,2017
M. Perg,200228,Peñarol,"LCB3, LCB",25.0,0,0,192,2017
M. Cabrera,289950,Racing,,21.0,0,0,191,2017
D. García,413468,Juventud,"LW, CF, LCMF3",20.0,0,0,190,2017
D. Würth,473119,Plaza Colonia,RB,20.0,0,0,188,2017
A. Lima,193603,Liverpool,LW,27.0,0,0,185,2017
F. Silvera,458877,Rampla Juniors,,21.0,0,0,180,2017
C. Britos,175547,Sud América,,26.0,0,0,180,2017
E. Ghan,354439,Danubio,RWB,22.0,0,0,180,2017
E. Benavídez,199055,Sud América,DMF,28.0,0,0,179,2017
E. Peña,485368,River Plate,LW,17.0,0,0,176,2017
E. Dudok,57891,Racing,"LDMF, RCMF",30.0,0,0,174,2017
R. Cristóbal,472307,Defensor Sporting,"LCMF, CF, CB",21.0,0,0,163,2017
F. Muñoz,499281,Juventud,"LW, RW",18.0,0,0,160,2017
E. Beltrán,498555,Defensor Sporting,RWB,19.0,0,0,159,2017
Jeferson Tanque,476177,Defensor Sporting,CF,17.0,0,1,156,2017
E. Mozzone,437175,Fénix,,19.0,1,0,147,2017
G. Fernández,247860,Racing,CF,23.0,2,0,146,2017
I. Ratti,181027,El Tanque Sisley,"LCMF, RCMF3, LCMF3",23.0,0,0,140,2017
R. Ramírez,443433,Danubio,,21.0,0,0,140,2017
M. Toma,357397,Liverpool,RW,22.0,0,0,136,2017
L. Barcía,336853,Nacional,"RW, RWF, CF",24.0,1,0,134,2017
D. González,413467,Juventud,LWF,20.0,0,0,125,2017
C. Valenzuela,-66064,Fénix,"RCB, LCB",20.0,0,0,121,2017
R. Gattas,84758,Cerro,"AMF, CF",25.0,0,0,120,2017
N. Cáceres,432953,Liverpool,LB,20.0,0,0,118,2017
F. Martínez,458585,Peñarol,"RW, RCMF, LW",18.0,0,0,117,2017
M. Arias,91612,River Plate,,27.0,0,0,115,2017
J. Vergés,323031,Wanderers,"AMF, RAMF",25.0,0,0,115,2017
C. Servetti,473727,Rampla Juniors,,22.0,0,0,112,2017
J. Neris,474140,River Plate,"RW, CF",17.0,1,0,105,2017
P. Servetti,468330,Rampla Juniors,"CF, LWF",21.0,0,0,105,2017
H. Petryk,-233854,Peñarol,RB,21.0,0,0,98,2017
J. Delgado,230515,Boston River,CF,23.0,0,0,98,2017
W. Fernández,397868,Boston River,LCMF3,19.0,0,0,98,2017
Ronaldo Conceição,75171,Peñarol,RCB,29.0,0,0,97,2017
L. Mejía,90581,Nacional,GK,26.0,0,0,94,2017
A. Requena,466420,Fénix,GK,18.0,0,0,91,2017
B. Toledo,348035,Liverpool,,22.0,0,0,91,2017
J. Bregonis,289947,Boston River,,19.0,0,0,90,2017
S. Segovia,454682,El Tanque Sisley,,19.0,0,0,90,2017
G. Roselló,488139,Rampla Juniors,,19.0,0,0,90,2017
K. Larrea,289961,Boston River,,21.0,0,0,90,2017
J. Rosso,504507,Liverpool,RB,20.0,0,0,89,2017
S. Ramírez,448453,Danubio,AMF,19.0,0,0,85,2017
J. Gottesman,434582,Rampla Juniors,LCMF,23.0,0,0,79,2017
E. Bastita,517093,Liverpool,RB,17.0,0,0,78,2017
M. Rodríguez,415142,Peñarol,,20.0,0,0,76,2017
M. Zaragoza,390267,Boston River,"AMF, LWB",21.0,0,0,75,2017
D. Vicente,397882,River Plate,,18.0,0,0,73,2017
D. Cabrera,443496,Rampla Juniors,"RWF, CF",18.0,0,0,72,2017
L. Acosta,13905,Racing,LW,29.0,0,0,72,2017
J. Candia,279750,Liverpool,"LAMF, LDMF",22.0,0,0,69,2017
M. Noble,323109,Plaza Colonia,"LCMF3, RB",19.0,0,0,67,2017
J. Viacava,434457,Fénix,,18.0,0,0,63,2017
D. Coelho,475198,Nacional,,22.0,0,0,61,2017
A. Navarro,448454,Danubio,,20.0,0,0,59,2017
C. Antúnez,479068,Liverpool,"CF, RW",18.0,0,0,59,2017
B. Barone,329596,El Tanque Sisley,CF,23.0,0,0,56,2017
C. Taján,176866,River Plate,RW,25.0,0,0,50,2017
T. Chacón,474727,Danubio,,17.0,0,0,46,2017
P. González,434454,Juventud,,21.0,0,0,46,2017
J. Moreira,448449,Danubio,,19.0,0,0,37,2017
J. Jorge,504505,Liverpool,"RCMF, RW",18.0,0,0,35,2017
J. Soto,91635,Plaza Colonia,,28.0,0,0,35,2017
L. Branca,479529,Boston River,CF,19.0,0,0,35,2017
J. Salvatto,448516,Defensor Sporting,RCB,18.0,0,0,33,2017
E. Figueroa,65961,Liverpool,LCMF,29.0,0,0,32,2017
N. Leites,371555,Danubio,,17.0,0,0,31,2017
D. Núñez,516682,Peñarol,CF,18.0,0,0,30,2017
J. Gallardo,491400,Wanderers,"RWB, RAMF",25.0,0,0,30,2017
N. Machado,446635,River Plate,,20.0,0,0,29,2017
S. Gáspari,448509,Wanderers,LAMF,21.0,0,0,28,2017
S. Paiva,-66063,Danubio,,18.0,0,0,28,2017
R. Quintana,304491,Wanderers,,22.0,0,0,26,2017
M. Caetano,504352,Danubio,RCMF,19.0,0,0,24,2017
Roberto Hernández,304989,Juventud,,23.0,0,0,23,2017
P. Olivera,57201,Fénix,LCMF3,29.0,0,0,23,2017
C. Quintana,462334,Liverpool,RCB3,19.0,0,0,18,2017
C. Serrón,428040,Rampla Juniors,,20.0,0,0,17,2017
E. Negreira,414519,Cerro,,20.0,0,0,14,2017
R. Toranza,452392,Cerro,RAMF,20.0,0,0,9,2017
Ricardo Lima,283699,River Plate,DMF,23.0,0,0,8,2017
J. Gamboa,489422,Rampla Juniors,,20.0,0,0,7,2017
E. Escobar,-65836,Liverpool,,18.0,0,0,7,2017
L. Cappi,502040,Fénix,,19.0,0,0,5,2017
Ignacio Neira,453799,Cerro,LW,19.0,0,0,4,2017
R. Ergas,397881,Defensor Sporting,,19.0,0,0,0,2017
L. País,181029,Torque,"RW, RB",24.0,0,2,3245,2018
A. Espino,326260,Nacional,LB,26.0,2,3,3220,2018
D. Torres,211078,Cerro,LCB,27.0,2,0,3156,2018
N. Pérez,91578,River Plate,GK,28.0,0,0,3138,2018
K. Dawson,180998,Peñarol,GK,26.0,0,0,3128,2018
J. Bava,22186,Liverpool,GK,37.0,0,0,3117,2018
Á. Brun,90566,Torque,"DMF, RCMF",31.0,5,0,3079,2018
N. Prieto,103079,Danubio,"RCMF, RB, RDMF",25.0,2,0,3078,2018
A. Ale,361579,River Plate,LCB,23.0,1,0,3048,2018
Felipe Klein,72150,Cerro,"LCMF, DMF, LW",31.0,0,1,3033,2018
R. Odriozola,91727,Rampla Juniors,GK,29.0,0,0,3019,2018
L. Hernández,276174,Peñarol,LB,26.0,3,6,3003,2018
F. Formiliano,203349,Peñarol,RCB,25.0,6,0,2988,2018
D. Denis,199077,Fénix,GK,26.0,0,0,2981,2018
S. Cáceres,500453,Liverpool,"RCB, LCB, LCB3",19.0,0,0,2964,2018
L. Sosa,201707,Danubio,"LW, LB, LCMF3",27.0,1,1,2942,2018
M. Correa,122124,Defensor Sporting,"RW, AMF, CF",27.0,5,2,2905,2018
Y. Irrazábal,57695,Cerro,GK,30.0,0,0,2901,2018
N. Correa,92107,Defensor Sporting,"CB, LCB, RCB",34.0,0,1,2898,2018
G. Castillo,91570,Progreso,LCB,27.0,2,0,2888,2018
C. Núñez,57057,Cerro,RB,35.0,1,1,2869,2018
L. Paiva,295623,Cerro,"RW, LW, RAMF",24.0,8,2,2868,2018
A. Rodales,57271,Atenas,"RB, RB5",31.0,0,0,2861,2018
M. Loffreda,323257,Progreso,LB,27.0,0,0,2858,2018
Á. Gabrielli,308768,Liverpool,"RB, RCB3, RWB",26.0,4,1,2845,2018
J. Trindade,277923,Racing,"LB, RB, RW",25.0,2,0,2833,2018
M. Calzada,91582,River Plate,"RCMF, DMF, RDMF",28.0,1,0,2786,2018
A. Colombino,201712,Wanderers,"LCMF, LDMF, RCMF",24.0,0,0,2783,2018
M. Acuña,289209,Fénix,"CF, LWF",25.0,6,0,2756,2018
P. Lacoste,119221,Racing,"LCB, RCB",30.0,4,0,2747,2018
L. Zazpe,200232,Cerro,LB,24.0,2,2,2739,2018
G. Maulella,57221,Defensor Sporting,"LCB, RCB, LCB3",34.0,2,0,2723,2018
M. Suárez,316039,Defensor Sporting,"RB, RWB",22.0,1,2,2716,2018
I. Lemmo,143065,Progreso,"AMF, CF",28.0,10,0,2670,2018
G. Falcón,391029,Boston River,GK,21.0,0,0,2669,2018
H. Figueredo,57148,Liverpool,"LCMF, LCMF3, RCMF3",33.0,1,1,2667,2018
J. Ramirez,-486973,Liverpool,CF,21.0,11,2,2639,2018
I. Ramírez,432975,Liverpool,CF,21.0,11,2,2639,2018
S. Felipe,304219,Danubio,"LCB, RB, RCB",27.0,2,1,2625,2018
A. Villoldo,249203,Wanderers,LB,29.0,3,0,2622,2018
G. Bueno,143089,Danubio,"RCB, LCB",33.0,0,0,2621,2018
L. Fernández,397873,Fénix,"RWF, AMF, RW",19.0,11,4,2590,2018
M. Castro,304488,Wanderers,"RW, RAMF, LW",22.0,11,4,2565,2018
M. Rodríguez,91729,Racing,GK,28.0,0,0,2560,2018
G. Sena,165296,Torque,"LB, LW",28.0,4,1,2555,2018
D. Asconeguy,57181,Progreso,RB,31.0,1,0,2552,2018
J. Varela,193208,Atenas,"LCMF, DMF",23.0,0,0,2539,2018
S. Makuka,398964,Progreso,RCB,23.0,0,1,2526,2018
F. Cristóforo,281564,Danubio,GK,28.0,0,0,2525,2018
N. Olivera,248712,Fénix,"LCB3, LB, LCB",25.0,3,0,2512,2018
C. Souza,414711,Liverpool,"RAMF, RWB, RWF",22.0,4,3,2489,2018
M. Cardacio,31386,Defensor Sporting,"RCMF, DMF, LCMF",30.0,0,3,2471,2018
J. Izquierdo,499288,Cerro,RCB,21.0,1,1,2461,2018
F. Martínez,430453,Liverpool,"AMF, LW, CF",22.0,13,0,2452,2018
N. Fernández,397865,Fénix,"RCMF, DMF, LCMF",20.0,1,0,2429,2018
G. Reyes,57163,Defensor Sporting,GK,32.0,0,0,2412,2018
G. Colmán,173877,Progreso,CF,29.0,9,0,2409,2018
S. Scotto,471871,Torque,LCMF,21.0,1,1,2394,2018
G. Pereira,148490,Peñarol,"RCMF, LCMF",27.0,0,0,2353,2018
A. Teuten,-73102,Torque,LB,20.0,0,1,2345,2018
I. Nicolini,142815,Racing,"LCMF, RCMF",29.0,1,0,2332,2018
C. Oliva,-72202,Nacional,"DMF, RCMF, RDMF",22.0,2,1,2332,2018
F. Mallo,390555,Torque,"RCB, LCB",23.0,2,0,2296,2018
R. Rodríguez,23541,Danubio,"LCMF, RCB, LDMF",30.0,0,0,2288,2018
P. Ceppelini,73710,Danubio,"RW, LAMF, LW",26.0,5,3,2287,2018
N. González,458157,Cerro,CF,21.0,9,2,2282,2018
G. Mastriani,191501,Boston River,CF,25.0,7,1,2278,2018
D. Pereira,361279,Torque,"RCMF, CF, AMF",22.0,5,0,2272,2018
S. Fernández,55486,Nacional,"CF, AMF, LWF",33.0,10,8,2245,2018
A. Barboza,246274,Fénix,"RCB3, RCB",24.0,0,0,2241,2018
M. Rabuñal,341295,Defensor Sporting,"LCMF, RCMF3, RCMF",24.0,3,0,2239,2018
R. Abascal,362177,Fénix,"LCB, CB, LCB3",24.0,2,1,2211,2018
F. Estoyanoff,3078,Peñarol,"RW, RAMF, LW",35.0,3,11,2196,2018
G. Camargo,252603,Danubio,LB,27.0,0,1,2196,2018
R. Erramuspe,78890,Nacional,"LCB, RCB",28.0,3,0,2195,2018
M. Gómez,296248,Torque,RB,26.0,6,2,2185,2018
R. Pastorini,91625,Wanderers,CF,28.0,9,3,2183,2018
G. Rizzo,429720,Rampla Juniors,"RCB, LCB3, LCB",22.0,3,0,2182,2018
D. Scotti,24683,Boston River,DMF,41.0,2,0,2159,2018
A. Canobbio,452566,Peñarol,"LW, RW",19.0,2,1,2149,2018
G. Fernández,247860,Peñarol,CF,24.0,12,1,2129,2018
N. Rocha,323063,Rampla Juniors,"RCMF, LCMF, DMF",33.0,0,0,2128,2018
F. Ospitaleche,289965,River Plate,"LCMF, RCMF, LAMF",22.0,1,0,2127,2018
F. Boné,303205,River Plate,"LW, AMF",22.0,7,3,2123,2018
F. López,372553,Cerro,"CF, LW, RW",25.0,6,3,2122,2018
S. Fosgt,57073,Fénix,"RCB, CB",32.0,1,0,2111,2018
B. Méndez,486251,Wanderers,"RCB, RB",18.0,1,0,2091,2018
E. Techera,323240,Atenas,"RCB, LB, LCB3",23.0,1,0,2064,2018
I. González,277257,Danubio,"RW, RAMF, CF",24.0,3,2,2053,2018
R. Fernández,448448,Danubio,"LCMF, RCMF, DMF",22.0,0,0,2048,2018
M. Jones,97057,River Plate,"LCMF, AMF, LCMF3",27.0,9,1,2034,2018
J. Álvez,24230,Fénix,"RB, RB5, RWB",34.0,0,0,2027,2018
S. Romero,143210,Nacional,"RCMF, LCMF, RB",28.0,3,1,2021,2018
G. Fratta,396632,Boston River,"LCB3, RCB3, RCB",22.0,2,0,2017,2018
Á. Cayetano,169055,Racing,"RCMF, DMF, LCMF",27.0,1,0,2009,2018
Martín Rivas,276173,Liverpool,"LB, LWB, LB5",26.0,0,0,2003,2018
M. Felipe,154893,Rampla Juniors,"RB, LWB, LB",27.0,0,1,1994,2018
F. Millacet,249815,Progreso,"LAMF, LW",27.0,0,1,1985,2018
F. Barrandeguy,396153,Wanderers,RB,22.0,1,0,1950,2018
D. Rodríguez,92321,River Plate,LB,32.0,0,0,1946,2018
C. Fiermarín,397886,Torque,GK,20.0,0,0,1935,2018
F. Castellanos,323111,Atenas,"CF, LW, RWF",25.0,4,1,1935,2018
F. Platero,169061,Liverpool,"CB, RCB",27.0,3,0,1931,2018
M. Pereyra,479620,Atenas,"LCB3, RCB, LCB",22.0,0,0,1930,2018
Carlos Techera,334193,Progreso,GK,26.0,0,0,1922,2018
J. Rodríguez,441746,Danubio,RB,21.0,0,1,1900,2018
R. Viega,91725,Progreso,"LDMF, RDMF, LCMF",27.0,2,0,1877,2018
C. Olivera,63702,Rampla Juniors,"AMF, LWF, LCMF3",30.0,5,0,1871,2018
A. Cougo,395535,Defensor Sporting,"LB, LWB, LB5",22.0,4,2,1834,2018
D. Martiñones,88340,Rampla Juniors,CF,33.0,11,1,1832,2018
L. Rodríguez,352999,Atenas,"RW, LW, RWB",25.0,4,0,1831,2018
M. Soto,250245,Rampla Juniors,"LCB, LB, LCB3",27.0,1,0,1831,2018
I. González,10390,Wanderers,"AMF, RDMF, CF",36.0,5,1,1829,2018
P. Lima,322903,Wanderers,RCB,26.0,0,1,1827,2018
P. Adorno,487760,Boston River,"LCB3, LB, LWB",22.0,1,0,1824,2018
R. Arias,103066,Peñarol,LCB,26.0,2,2,1816,2018
F. Rodríguez,142820,Danubio,CF,27.0,7,1,1802,2018
Y. Rak,304982,Torque,LCB,25.0,0,0,1799,2018
N. Rodríguez,163043,River Plate,"RB, LW, LCMF",27.0,6,0,1789,2018
G. Rivero,305721,Defensor Sporting,CF,26.0,10,1,1777,2018
J. Gottesman,478751,Progreso,"RDMF, RCMF, LCMF",22.0,4,2,1776,2018
D. Terans,302533,Danubio,"CF, AMF",24.0,14,2,1776,2018
S. Barboza,249207,Atenas,CF,28.0,6,1,1756,2018
M. Cabrera,289950,Racing,CF,22.0,5,1,1733,2018
M. Cabrera,57054,Defensor Sporting,"AMF, RCMF3, LCMF3",32.0,4,4,1728,2018
M. Zunino,128046,Nacional,"RW, RCMF3, RAMF",28.0,5,1,1726,2018
S. Rodríguez,103083,Nacional,"DMF, LCMF, LCMF3",26.0,0,2,1721,2018
S. Píriz,123325,Liverpool,"RCMF, RDMF, DMF",28.0,1,0,1715,2018
G. Montes,245341,Progreso,"LDMF, RW, RCMF",23.0,3,0,1708,2018
F. Romero,341285,Racing,RB,23.0,0,1,1708,2018
M. Araújo,446564,Racing,"LW, LAMF, CF",21.0,4,1,1706,2018
C. Keosseián,119222,Atenas,RCMF,30.0,0,0,1688,2018
L. Barcía,336853,Nacional,"RWF, CF, RAMF",25.0,3,1,1672,2018
R. Araújo,459276,Boston River,"CB, RCB3",19.0,0,0,1649,2018
D. Malrechauffe,23543,Racing,"RCB, RB",33.0,0,0,1647,2018
Y. Mosquera,247644,Atenas,CF,25.0,4,2,1643,2018
J. Noy,322887,Wanderers,"RCMF, RDMF, LDMF",25.0,1,1,1575,2018
W. Fernández,397868,Boston River,"LCMF3, RCMF3, DMF",20.0,1,0,1561,2018
M. Arguiñarena,323069,Boston River,"LWB, LB5",26.0,1,0,1553,2018
L. Mejía,90581,Nacional,GK,27.0,0,0,1551,2018
G. Pintos,322471,Atenas,"LCB, RCB3, RCB",23.0,1,0,1550,2018
M. Bajter,57174,Liverpool,"DMF, RCMF, LCMF3",32.0,0,0,1532,2018
J. Galli,166498,Rampla Juniors,"LCMF, LDMF, DMF",28.0,0,0,1518,2018
N. Freitas,57149,Progreso,"RDMF, LDMF, DMF",31.0,1,0,1518,2018
R. Rabino,430704,Atenas,"LB, LB5, LWB",20.0,0,0,1509,2018
V. Castellanos,474276,Torque,"CF, LW, RWF",19.0,3,0,1488,2018
F. Bonifazi,412086,Racing,LB,22.0,2,0,1485,2018
J. Barboza,193619,Cerro,"RCMF, LCMF",27.0,1,0,1484,2018
R. Flores,92455,Boston River,"RCMF3, LCMF3",32.0,0,1,1471,2018
J. Pereyra,395448,Boston River,CB,24.0,0,0,1463,2018
F. Gallego,301877,Boston River,"LCMF3, RCMF3, RWB",28.0,2,1,1460,2018
R. Rivero,404419,Wanderers,"LW, LAMF, RW",22.0,3,1,1437,2018
D. Guastavino,41511,Liverpool,"LWF, LW, AMF",34.0,6,1,1417,2018
Á. Rodríguez,296420,Racing,"RW, RAMF",23.0,1,0,1409,2018
L. Aguiar,56166,Nacional,"LCMF3, LCMF, LDMF",32.0,5,6,1395,2018
C. Benavidez,442118,Defensor Sporting,"LCMF3, LCMF, RCMF3",20.0,1,0,1385,2018
T. Viudez,63464,Nacional,"RW, LWF, RAMF",28.0,4,4,1381,2018
H. Dorrego,284040,Rampla Juniors,"RW, LCMF, RCMF",25.0,1,2,1377,2018
Sebastian Ramirez,224233,Atenas,"RCB, CB, LCB",26.0,2,0,1363,2018
A. Rosso,276258,Progreso,"RAMF, RW",25.0,4,0,1358,2018
F. Castro,334621,Defensor Sporting,"CF, RWF",23.0,1,5,1345,2018
G. Rodríguez,181038,Fénix,"LB, LWB, LB5",24.0,0,0,1332,2018
C. Herrera,28210,River Plate,RB,30.0,0,0,1321,2018
J. Piquerez,397880,Defensor Sporting,"LW, LB, LWB",19.0,0,3,1318,2018
A. Hernández,57901,Cerro,"LW, LAMF",32.0,2,1,1317,2018
